id,category,severity,severity_ordinal,priority_score,hours_since_submission,hours_since_status_change,related_count,assigned,department_id,sla_deadline_hours,is_safety_risk,breach
1634,other,MEDIUM,2,32,119.16,11.03,0,1,7,72,0,1
1635,other,LOW,1,31,125.37,71.94,2,1,7,72,0,1
1636,drainage,LOW,1,21,39.74,28.24,0,0,3,48,0,1
1637,other,MEDIUM,2,37,122.07,30.32,0,1,7,72,0,0
1638,streetlight,MEDIUM,2,41,14.08,5.62,1,0,4,24,0,1
1639,water_leakage,LOW,1,31,37.74,15.82,1,1,5,24,0,0
1640,streetlight,MEDIUM,2,37,13.26,5.21,0,1,4,24,0,1
1641,water_leakage,MEDIUM,2,54,8.61,2.91,2,1,5,24,0,1
1642,streetlight,LOW,1,25,8.92,5.06,0,1,4,24,0,0
1643,garbage,MEDIUM,2,33,74.53,57.66,0,1,2,72,0,0
1644,garbage,HIGH,3,53,63.07,38.5,1,1,2,72,0,1
1645,pothole,LOW,1,20,0.75,0.65,0,1,1,48,0,0
1646,drainage,LOW,1,36,13.01,2.77,2,1,3,48,0,0
1647,streetlight,MEDIUM,2,32,30.4,6.95,0,1,4,24,0,1
1648,pothole,MEDIUM,2,34,53.42,7.6,0,1,1,48,0,0
1649,garbage,CRITICAL,4,91,86.04,10.56,0,1,2,72,1,1
1650,streetlight,LOW,1,40,0.86,0.59,2,1,4,24,0,0
1651,streetlight,HIGH,3,50,41.92,22.72,0,1,4,24,0,1
1652,garbage,MEDIUM,2,40,87.79,66.01,0,1,2,72,0,1
1653,other,LOW,1,22,92.2,68.31,0,1,7,72,0,1
1654,water_leakage,MEDIUM,2,38,7.3,6.22,0,0,5,24,0,0
1655,pothole,MEDIUM,2,37,78.26,2.5,0,1,1,48,0,0
1656,drainage,LOW,1,23,64.8,36.47,0,0,3,48,0,1
1657,water_leakage,LOW,1,21,24.78,7.27,0,1,5,24,0,1
1658,other,LOW,1,21,48.62,17.83,0,1,7,72,0,0
1659,drainage,LOW,1,16,29.92,7.83,0,0,3,48,0,0
1660,other,LOW,1,17,86.34,22.94,0,0,7,72,0,0
1661,pothole,LOW,1,16,15.3,0.99,0,0,1,48,0,0
1662,pothole,MEDIUM,2,63,63.63,16.37,3,0,1,48,0,1
1663,streetlight,MEDIUM,2,40,14.29,9.51,1,0,4,24,0,1
1664,other,HIGH,3,48,24.05,17.27,0,1,7,72,0,1
1665,pothole,MEDIUM,2,53,54.04,9.25,2,1,1,48,0,1
1666,garbage,MEDIUM,2,54,94.81,42.61,2,1,2,72,0,1
1667,garbage,CRITICAL,4,86,34.12,29.96,0,0,2,72,1,1
1668,drainage,HIGH,3,96,19.67,7.76,2,0,3,48,1,1
1669,streetlight,LOW,1,25,14.89,3.59,0,1,4,24,0,1
1670,garbage,LOW,1,29,8.14,2.8,1,1,2,72,0,1
1671,other,MEDIUM,2,35,126.64,48.56,0,1,7,72,0,0
1672,water_leakage,MEDIUM,2,53,2.85,0.75,2,1,5,24,0,1
1673,drainage,HIGH,3,75,27.08,27.06,0,1,3,48,1,1
1674,streetlight,LOW,1,22,34.4,22.69,0,1,4,24,0,1
1675,garbage,MEDIUM,2,52,49.97,47.45,2,1,2,72,0,0
1676,other,LOW,1,33,47.4,20.59,2,1,7,72,0,0
1677,garbage,LOW,1,22,2.12,1.0,0,0,2,72,0,0
1678,drainage,HIGH,3,76,73.77,13.33,0,1,3,48,1,1
1679,garbage,MEDIUM,2,37,86.29,25.44,0,1,2,72,0,1
1680,garbage,LOW,1,19,122.26,57.86,0,0,2,72,0,1
1681,drainage,MEDIUM,2,34,59.1,20.59,0,0,3,48,0,1
1682,drainage,HIGH,3,100,74.66,17.74,4,0,3,48,1,1
1683,drainage,MEDIUM,2,45,78.64,43.32,1,1,3,48,0,0
1684,water_leakage,LOW,1,49,34.29,16.76,3,1,5,24,0,1
1685,garbage,MEDIUM,2,30,78.98,58.56,0,1,2,72,0,1
1686,pothole,MEDIUM,2,34,12.82,4.12,0,1,1,48,0,1
1687,streetlight,HIGH,3,73,34.18,6.63,0,1,4,24,1,1
1688,pothole,LOW,1,20,71.27,23.16,0,0,1,48,0,1
1689,drainage,MEDIUM,2,47,46.34,38.19,1,1,3,48,0,1
1690,drainage,MEDIUM,2,44,63.55,9.36,1,0,3,48,0,1
1691,pothole,LOW,1,21,17.65,5.23,0,1,1,48,0,1
1692,streetlight,HIGH,3,75,42.9,10.72,0,0,4,24,1,1
1693,drainage,MEDIUM,2,35,17.09,10.36,0,1,3,48,0,0
1694,pothole,LOW,1,21,28.21,13.46,0,1,1,48,0,0
1695,other,MEDIUM,2,48,41.98,7.47,1,1,7,72,0,1
1696,water_leakage,HIGH,3,79,1.7,0.87,1,1,5,24,1,1
1697,pothole,MEDIUM,2,43,81.23,11.28,1,1,1,48,0,1
1698,drainage,HIGH,3,72,42.55,23.19,0,1,3,48,1,1
1699,pothole,HIGH,3,100,38.75,4.47,3,0,1,48,1,1
1700,pothole,LOW,1,18,72.83,10.82,0,0,1,48,0,0
1701,garbage,MEDIUM,2,42,41.85,31.64,1,0,2,72,0,1
1702,other,MEDIUM,2,33,53.78,3.65,0,0,7,72,0,1
1703,pothole,LOW,1,21,6.97,6.14,0,1,1,48,0,0
1704,water_leakage,LOW,1,21,27.12,14.95,0,1,5,24,0,1
1705,garbage,HIGH,3,68,33.21,6.5,2,1,2,72,0,1
1706,water_leakage,CRITICAL,4,86,29.02,18.48,0,0,5,24,1,1
1707,garbage,LOW,1,40,73.9,53.8,2,1,2,72,0,0
1708,drainage,MEDIUM,2,49,55.97,11.03,2,1,3,48,0,1
1709,drainage,LOW,1,21,71.68,41.3,0,1,3,48,0,0
1710,streetlight,CRITICAL,4,95,26.0,3.97,0,1,4,24,1,1
1711,garbage,LOW,1,15,13.9,0.0,0,0,2,72,0,0
1712,pothole,LOW,1,18,32.95,18.72,0,0,1,48,0,0
1713,streetlight,MEDIUM,2,38,16.11,4.51,1,0,4,24,0,0
1714,drainage,LOW,1,56,39.48,36.8,5,1,3,48,0,0
1715,other,CRITICAL,4,100,102.74,63.38,3,0,7,72,1,1
1716,water_leakage,MEDIUM,2,32,11.8,0.27,0,0,5,24,0,1
1717,streetlight,MEDIUM,2,46,1.29,0.64,2,1,4,24,0,0
1718,pothole,MEDIUM,2,41,82.89,42.07,1,1,1,48,0,0
1719,pothole,MEDIUM,2,48,83.22,9.03,1,1,1,48,0,1
1720,water_leakage,HIGH,3,45,18.81,17.91,0,0,5,24,0,1
1721,pothole,MEDIUM,2,35,39.42,18.63,0,1,1,48,0,0
1722,water_leakage,LOW,1,22,31.76,8.32,0,1,5,24,0,0
1723,drainage,LOW,1,29,58.12,42.69,1,1,3,48,0,1
1724,drainage,HIGH,3,47,28.75,10.31,0,1,3,48,0,0
1725,drainage,MEDIUM,2,32,74.28,30.0,0,1,3,48,0,0
1726,water_leakage,LOW,1,29,35.26,4.94,1,0,5,24,0,0
1727,water_leakage,MEDIUM,2,32,22.45,12.92,0,1,5,24,0,0
1728,other,MEDIUM,2,46,43.4,5.07,1,1,7,72,0,0
1729,water_leakage,MEDIUM,2,39,16.97,9.79,1,1,5,24,0,1
1730,other,MEDIUM,2,38,108.13,64.46,0,0,7,72,0,1
1731,streetlight,LOW,1,18,3.12,2.96,0,1,4,24,0,0
1732,pothole,CRITICAL,4,70,16.5,0.27,0,0,1,48,0,1
1733,drainage,MEDIUM,2,47,10.28,9.71,1,0,3,48,0,1
1734,streetlight,MEDIUM,2,63,13.12,8.13,3,1,4,24,0,1
1735,streetlight,CRITICAL,4,68,21.6,7.59,0,1,4,24,0,1
1736,streetlight,MEDIUM,2,62,26.79,8.43,4,1,4,24,0,1
1737,streetlight,HIGH,3,55,3.75,0.95,0,0,4,24,0,0
1738,streetlight,MEDIUM,2,38,14.57,8.8,0,1,4,24,0,0
1739,streetlight,LOW,1,15,17.74,0.18,0,1,4,24,0,0
1740,streetlight,LOW,1,23,7.83,2.15,0,1,4,24,0,0
1741,pothole,LOW,1,17,10.17,5.25,0,1,1,48,0,1
1742,water_leakage,LOW,1,38,4.74,0.73,2,0,5,24,0,1
1743,streetlight,HIGH,3,83,34.85,21.73,1,0,4,24,1,1
1744,water_leakage,HIGH,3,80,9.88,4.39,1,1,5,24,1,1
1745,water_leakage,MEDIUM,2,46,18.93,6.94,1,0,5,24,0,0
1746,drainage,MEDIUM,2,36,9.19,4.35,0,1,3,48,0,1
1747,pothole,LOW,1,17,81.96,17.17,0,1,1,48,0,1
1748,garbage,LOW,1,31,24.21,4.76,1,1,2,72,0,1
1749,pothole,CRITICAL,4,89,56.7,27.94,0,0,1,48,1,1
1750,other,MEDIUM,2,34,48.19,24.59,0,1,7,72,0,0
1751,pothole,LOW,1,18,70.11,15.34,0,1,1,48,0,1
1752,streetlight,MEDIUM,2,31,9.25,1.59,0,1,4,24,0,1
1753,garbage,HIGH,3,72,18.84,14.33,0,1,2,72,1,1
1754,streetlight,HIGH,3,75,15.63,3.52,0,0,4,24,1,1
1755,pothole,LOW,1,18,62.77,17.94,0,1,1,48,0,0
1756,garbage,MEDIUM,2,40,123.04,36.69,0,1,2,72,0,1
1757,water_leakage,MEDIUM,2,38,21.48,1.61,0,1,5,24,0,1
1758,garbage,HIGH,3,50,5.18,1.44,0,1,2,72,0,1
1759,water_leakage,MEDIUM,2,39,39.71,20.53,0,1,5,24,0,0
1760,other,MEDIUM,2,37,85.67,41.33,0,0,7,72,0,0
1761,water_leakage,MEDIUM,2,34,27.28,6.04,0,0,5,24,0,1
1762,garbage,LOW,1,19,117.39,65.32,0,1,2,72,0,1
1763,drainage,MEDIUM,2,39,35.56,9.38,0,1,3,48,0,0
1764,garbage,HIGH,3,81,89.21,13.68,1,1,2,72,1,1
1765,water_leakage,MEDIUM,2,39,5.06,3.66,0,0,5,24,0,0
1766,drainage,LOW,1,19,55.94,23.85,0,1,3,48,0,0
1767,streetlight,MEDIUM,2,38,6.32,3.83,0,1,4,24,0,0
1768,pothole,LOW,1,23,70.16,12.23,0,1,1,48,0,0
1769,drainage,MEDIUM,2,77,36.33,9.65,5,1,3,48,0,1
1770,streetlight,MEDIUM,2,30,13.53,1.89,0,1,4,24,0,1
1771,pothole,LOW,1,33,47.39,12.72,1,1,1,48,0,1
1772,pothole,HIGH,3,76,48.95,0.47,0,1,1,48,1,1
1773,garbage,MEDIUM,2,32,73.95,19.2,0,1,2,72,0,1
1774,water_leakage,LOW,1,40,9.5,7.65,2,0,5,24,0,1
1775,garbage,LOW,1,16,95.96,70.46,0,1,2,72,0,1
1776,streetlight,LOW,1,16,19.85,3.29,0,0,4,24,0,1
1777,other,LOW,1,16,75.12,43.18,0,0,7,72,0,0
1778,streetlight,MEDIUM,2,36,19.12,14.13,0,1,4,24,0,1
1779,drainage,LOW,1,31,58.17,20.96,2,1,3,48,0,1
1780,water_leakage,MEDIUM,2,40,19.1,3.93,0,0,5,24,0,1
1781,streetlight,LOW,1,18,13.57,5.5,0,0,4,24,0,1
1782,streetlight,CRITICAL,4,68,29.66,13.52,1,0,4,24,0,1
1783,drainage,MEDIUM,2,36,1.77,0.77,0,1,3,48,0,1
1784,garbage,LOW,1,24,118.14,18.71,0,0,2,72,0,1
1785,water_leakage,MEDIUM,2,33,8.45,0.31,0,0,5,24,0,1
1786,garbage,LOW,1,22,90.11,3.6,0,1,2,72,0,1
1787,garbage,HIGH,3,73,36.1,33.06,0,1,2,72,1,0
1788,water_leakage,LOW,1,49,28.28,18.82,4,1,5,24,0,1
1789,streetlight,CRITICAL,4,77,38.66,5.67,2,0,4,24,0,1
1790,drainage,HIGH,3,47,15.44,1.92,0,1,3,48,0,1
1791,garbage,LOW,1,23,1.13,0.97,1,1,2,72,0,0
1792,pothole,MEDIUM,2,55,14.43,6.77,2,0,1,48,0,0
1793,water_leakage,HIGH,3,87,19.98,9.09,1,1,5,24,1,1
1794,pothole,CRITICAL,4,68,11.74,3.37,0,1,1,48,0,1
1795,streetlight,HIGH,3,76,20.16,13.05,0,1,4,24,1,1
1796,water_leakage,CRITICAL,4,90,7.21,6.19,0,0,5,24,1,1
1797,pothole,MEDIUM,2,33,35.63,13.4,0,1,1,48,0,0
1798,garbage,MEDIUM,2,48,82.74,10.6,2,1,2,72,0,1
1799,drainage,MEDIUM,2,60,12.3,11.07,3,0,3,48,0,1
1800,streetlight,MEDIUM,2,64,8.84,1.15,4,0,4,24,0,0
1801,pothole,LOW,1,21,4.59,2.13,0,1,1,48,0,1
1802,drainage,MEDIUM,2,61,44.29,21.13,3,1,3,48,0,1
1803,drainage,LOW,1,63,79.66,7.97,5,0,3,48,0,1
1804,pothole,MEDIUM,2,39,54.49,17.82,0,1,1,48,0,1
1805,water_leakage,LOW,1,22,15.9,12.74,0,1,5,24,0,0
1806,water_leakage,LOW,1,17,33.67,17.49,0,0,5,24,0,0
1807,streetlight,LOW,1,26,30.86,17.55,1,0,4,24,0,1
1808,streetlight,LOW,1,21,9.51,0.42,0,0,4,24,0,0
1809,streetlight,HIGH,3,71,38.15,10.25,0,1,4,24,1,1
1810,pothole,LOW,1,25,41.7,2.76,0,1,1,48,0,0
1811,pothole,MEDIUM,2,45,70.13,16.45,1,1,1,48,0,0
1812,drainage,MEDIUM,2,43,47.34,42.67,1,1,3,48,0,1
1813,other,MEDIUM,2,33,92.87,37.44,0,1,7,72,0,1
1814,pothole,MEDIUM,2,36,23.52,22.1,0,1,1,48,0,1
1815,water_leakage,LOW,1,18,37.29,2.56,0,0,5,24,0,0
1816,garbage,MEDIUM,2,36,19.86,1.96,0,1,2,72,0,0
1817,drainage,LOW,1,44,20.95,13.05,3,1,3,48,0,0
1818,pothole,MEDIUM,2,35,70.42,7.39,0,0,1,48,0,1
1819,garbage,MEDIUM,2,36,129.31,66.8,0,0,2,72,0,1
1820,drainage,LOW,1,16,69.51,16.13,0,1,3,48,0,1
1821,pothole,HIGH,3,55,0.73,0.4,0,0,1,48,0,1
1822,pothole,LOW,1,65,15.34,2.05,5,1,1,48,0,0
1823,other,MEDIUM,2,46,74.13,2.91,2,1,7,72,0,0
1824,pothole,CRITICAL,4,92,53.08,39.43,0,0,1,48,1,1
1825,water_leakage,LOW,1,30,36.15,1.72,1,0,5,24,0,1
1826,drainage,LOW,1,19,67.05,24.71,0,0,3,48,0,1
1827,drainage,MEDIUM,2,34,60.04,38.89,0,1,3,48,0,1
1828,streetlight,MEDIUM,2,49,40.2,19.06,2,1,4,24,0,1
1829,garbage,MEDIUM,2,53,4.77,0.28,2,0,2,72,0,1
1830,other,LOW,1,21,99.84,49.52,0,1,7,72,0,1
1831,other,MEDIUM,2,37,87.04,52.52,0,1,7,72,0,1
1832,drainage,LOW,1,19,16.54,1.09,0,1,3,48,0,0
1833,streetlight,MEDIUM,2,51,41.76,18.81,2,1,4,24,0,1
1834,other,MEDIUM,2,30,40.8,37.35,0,1,7,72,0,0
1835,garbage,CRITICAL,4,100,53.89,26.24,5,0,2,72,0,1
1836,streetlight,CRITICAL,4,65,39.2,17.3,0,1,4,24,0,1
1837,drainage,LOW,1,49,9.04,6.97,4,0,3,48,0,1
1838,other,HIGH,3,79,96.43,19.69,0,1,7,72,1,1
1839,other,HIGH,3,45,58.96,42.4,0,1,7,72,0,1
1840,pothole,MEDIUM,2,37,54.18,38.01,0,1,1,48,0,0
1841,water_leakage,MEDIUM,2,40,39.88,20.04,0,0,5,24,0,1
1842,garbage,MEDIUM,2,33,75.11,28.43,0,0,2,72,0,0
1843,streetlight,LOW,1,23,0.1,0.0,0,1,4,24,0,0
1844,water_leakage,CRITICAL,4,77,0.71,0.61,1,1,5,24,0,1
1845,streetlight,CRITICAL,4,91,9.22,6.1,0,0,4,24,1,1
1846,drainage,LOW,1,18,56.69,0.68,0,1,3,48,0,0
1847,pothole,LOW,1,19,80.45,35.09,0,0,1,48,0,1
1848,streetlight,LOW,1,47,7.08,0.69,3,1,4,24,0,0
1849,other,LOW,1,34,127.37,62.87,2,0,7,72,0,1
1850,drainage,CRITICAL,4,67,9.8,4.42,0,1,3,48,0,1
1851,streetlight,MEDIUM,2,44,12.02,1.0,1,1,4,24,0,0
1852,water_leakage,CRITICAL,4,69,31.33,21.86,1,1,5,24,0,1
1853,drainage,LOW,1,25,70.43,25.67,0,1,3,48,0,1
1854,drainage,HIGH,3,88,68.49,20.76,2,1,3,48,1,1
1855,other,MEDIUM,2,72,75.99,50.21,4,1,7,72,0,0
1856,streetlight,MEDIUM,2,30,19.78,6.37,0,1,4,24,0,1
1857,pothole,MEDIUM,2,30,1.48,0.98,0,1,1,48,0,0
1858,streetlight,LOW,1,17,36.42,14.27,0,0,4,24,0,1
1859,water_leakage,CRITICAL,4,73,31.36,8.18,1,0,5,24,0,1
1860,water_leakage,HIGH,3,47,12.68,10.89,0,1,5,24,0,1
1861,streetlight,CRITICAL,4,100,12.12,10.3,5,1,4,24,1,1
1862,drainage,MEDIUM,2,32,2.26,0.64,0,0,3,48,0,0
1863,water_leakage,MEDIUM,2,67,4.33,0.49,4,1,5,24,0,0
1864,garbage,MEDIUM,2,38,75.46,5.68,0,1,2,72,0,0
1865,pothole,HIGH,3,82,47.43,27.38,1,0,1,48,1,1
1866,streetlight,HIGH,3,70,1.76,1.62,0,1,4,24,1,1
1867,pothole,CRITICAL,4,93,50.83,5.13,0,1,1,48,1,1
1868,garbage,MEDIUM,2,40,72.73,57.18,0,0,2,72,0,1
1869,other,HIGH,3,80,81.76,1.21,0,1,7,72,1,1
1870,streetlight,LOW,1,26,22.59,6.17,1,1,4,24,0,1
1871,garbage,LOW,1,20,27.35,18.24,0,1,2,72,0,1
1872,water_leakage,MEDIUM,2,44,24.98,6.46,1,1,5,24,0,1
1873,water_leakage,MEDIUM,2,32,42.24,9.73,0,0,5,24,0,1
1874,other,MEDIUM,2,41,125.35,17.91,1,0,7,72,0,1
1875,other,LOW,1,15,51.16,49.38,0,0,7,72,0,1
1876,other,LOW,1,17,90.23,29.76,0,1,7,72,0,0
1877,pothole,HIGH,3,81,28.09,11.55,1,1,1,48,1,1
1878,garbage,LOW,1,38,45.77,39.82,2,1,2,72,0,0
1879,drainage,MEDIUM,2,30,21.78,9.44,0,1,3,48,0,0
1880,water_leakage,LOW,1,21,17.86,15.74,0,0,5,24,0,0
1881,streetlight,HIGH,3,74,22.88,13.42,0,1,4,24,1,1
1882,streetlight,LOW,1,25,20.75,9.09,0,1,4,24,0,0
1883,garbage,CRITICAL,4,89,71.51,45.9,0,0,2,72,1,1
1884,drainage,HIGH,3,46,44.62,13.84,0,0,3,48,0,1
1885,drainage,LOW,1,48,21.11,20.21,3,1,3,48,0,0
1886,water_leakage,HIGH,3,78,27.11,23.46,0,1,5,24,1,1
1887,drainage,LOW,1,19,16.71,1.81,0,1,3,48,0,0
1888,drainage,MEDIUM,2,67,54.33,32.15,4,1,3,48,0,1
1889,streetlight,MEDIUM,2,49,38.46,7.79,2,1,4,24,0,1
1890,streetlight,LOW,1,17,41.36,0.39,0,1,4,24,0,1
1891,pothole,LOW,1,23,35.63,35.48,0,1,1,48,0,0
1892,garbage,LOW,1,24,27.8,10.31,0,0,2,72,0,1
1893,drainage,MEDIUM,2,39,76.88,42.87,0,1,3,48,0,1
1894,drainage,HIGH,3,61,46.39,29.18,1,0,3,48,0,1
1895,other,MEDIUM,2,75,120.04,35.25,5,1,7,72,0,1
1896,water_leakage,MEDIUM,2,35,39.95,6.66,0,1,5,24,0,0
1897,water_leakage,MEDIUM,2,42,1.16,0.11,1,0,5,24,0,1
1898,garbage,LOW,1,35,5.86,1.05,2,0,2,72,0,1
1899,other,MEDIUM,2,43,80.18,2.27,1,1,7,72,0,1
1900,drainage,HIGH,3,88,37.31,25.67,2,0,3,48,1,1
1901,water_leakage,LOW,1,16,36.41,10.09,0,0,5,24,0,1
1902,pothole,MEDIUM,2,48,60.45,7.98,1,1,1,48,0,1
1903,water_leakage,HIGH,3,69,39.62,23.63,2,0,5,24,0,1
1904,garbage,CRITICAL,4,96,55.07,33.64,1,0,2,72,1,1
1905,pothole,LOW,1,24,25.53,19.73,0,0,1,48,0,1
1906,other,LOW,1,23,6.97,5.14,0,1,7,72,0,0
1907,other,MEDIUM,2,33,95.59,9.74,0,1,7,72,0,0
1908,garbage,HIGH,3,91,65.89,39.99,2,0,2,72,1,1
1909,pothole,LOW,1,18,28.69,3.91,0,1,1,48,0,1
1910,garbage,MEDIUM,2,40,11.58,1.71,0,1,2,72,0,0
1911,other,HIGH,3,100,59.73,40.7,5,1,7,72,1,1
1912,other,MEDIUM,2,40,111.83,52.06,0,0,7,72,0,1
1913,pothole,MEDIUM,2,40,41.54,33.45,0,1,1,48,0,1
1914,other,MEDIUM,2,80,78.39,51.78,5,1,7,72,0,1
1915,water_leakage,MEDIUM,2,39,32.51,6.26,0,1,5,24,0,1
1916,water_leakage,MEDIUM,2,34,21.22,19.31,0,0,5,24,0,1
1917,pothole,LOW,1,15,40.51,20.54,0,0,1,48,0,1
1918,drainage,HIGH,3,72,32.65,20.79,0,1,3,48,1,1
1919,water_leakage,LOW,1,20,17.84,14.23,0,1,5,24,0,0
1920,drainage,LOW,1,23,14.71,8.48,1,1,3,48,0,0
1921,pothole,MEDIUM,2,43,20.77,12.51,1,1,1,48,0,0
1922,pothole,HIGH,3,86,67.27,45.75,2,1,1,48,1,1
1923,pothole,HIGH,3,45,74.76,12.14,0,1,1,48,0,1
1924,other,LOW,1,42,111.06,12.78,3,1,7,72,0,1
1925,streetlight,MEDIUM,2,40,8.11,5.25,0,0,4,24,0,1
1926,other,MEDIUM,2,40,87.86,52.27,0,1,7,72,0,0
1927,streetlight,LOW,1,31,0.89,0.79,1,0,4,24,0,0
1928,pothole,LOW,1,35,67.24,3.94,2,1,1,48,0,0
1929,other,MEDIUM,2,38,45.97,34.49,1,1,7,72,0,1
1930,garbage,MEDIUM,2,30,47.83,25.99,0,0,2,72,0,1
1931,streetlight,MEDIUM,2,38,17.76,4.97,0,1,4,24,0,1
1932,pothole,HIGH,3,74,63.14,17.68,0,1,1,48,1,1
1933,garbage,MEDIUM,2,48,107.8,4.43,1,0,2,72,0,1
1934,drainage,LOW,1,31,79.18,10.03,1,1,3,48,0,1
1935,drainage,HIGH,3,95,10.56,7.69,2,1,3,48,1,1
1936,streetlight,MEDIUM,2,47,34.01,13.07,1,0,4,24,0,1
1937,other,LOW,1,21,28.09,11.38,0,0,7,72,0,0
1938,other,LOW,1,28,10.87,8.15,1,1,7,72,0,0
1939,pothole,MEDIUM,2,30,43.26,17.61,0,1,1,48,0,1
1940,garbage,LOW,1,21,3.44,2.79,0,1,2,72,0,1
1941,garbage,HIGH,3,60,67.89,0.89,1,1,2,72,0,1
1942,drainage,HIGH,3,79,51.5,46.1,3,1,3,48,0,1
1943,drainage,MEDIUM,2,31,29.88,26.47,0,1,3,48,0,0
1944,other,HIGH,3,70,37.17,20.05,0,1,7,72,1,1
1945,streetlight,LOW,1,17,35.21,3.78,0,1,4,24,0,1
1946,streetlight,LOW,1,19,14.59,1.12,0,0,4,24,0,1
1947,water_leakage,MEDIUM,2,43,32.28,19.91,1,1,5,24,0,1
1948,streetlight,MEDIUM,2,32,41.74,17.85,0,0,4,24,0,1
1949,pothole,CRITICAL,4,91,81.55,41.99,0,1,1,48,1,1
1950,pothole,HIGH,3,56,65.9,18.54,1,0,1,48,0,1
1951,garbage,HIGH,3,76,32.92,11.21,0,1,2,72,1,1
1952,streetlight,MEDIUM,2,41,20.96,16.0,1,0,4,24,0,0
1953,drainage,LOW,1,23,83.21,5.56,0,1,3,48,0,0
1954,garbage,LOW,1,47,30.77,26.55,3,1,2,72,0,1
1955,pothole,LOW,1,20,55.74,29.5,0,0,1,48,0,1
1956,other,LOW,1,56,106.56,36.53,5,1,7,72,0,0
1957,drainage,MEDIUM,2,32,80.78,34.3,0,0,3,48,0,1
1958,water_leakage,MEDIUM,2,44,26.95,15.02,1,1,5,24,0,0
1959,other,LOW,1,33,71.63,43.31,1,1,7,72,0,0
1960,streetlight,LOW,1,33,22.56,3.28,1,1,4,24,0,0
1961,garbage,LOW,1,32,73.27,21.2,1,1,2,72,0,0
1962,garbage,CRITICAL,4,100,115.41,7.8,2,1,2,72,1,1
1963,streetlight,MEDIUM,2,38,24.19,22.5,0,1,4,24,0,1
1964,streetlight,MEDIUM,2,48,19.75,8.25,2,1,4,24,0,0
1965,drainage,MEDIUM,2,48,85.94,10.95,1,1,3,48,0,1
1966,drainage,MEDIUM,2,38,77.63,24.97,1,1,3,48,0,0
1967,drainage,HIGH,3,95,77.52,46.08,2,0,3,48,1,1
1968,drainage,LOW,1,23,69.52,37.64,0,1,3,48,0,0
1969,streetlight,MEDIUM,2,40,4.04,2.22,0,1,4,24,0,1
1970,garbage,LOW,1,25,62.46,26.6,1,1,2,72,0,0
1971,water_leakage,LOW,1,19,14.55,13.44,0,1,5,24,0,0
1972,garbage,LOW,1,15,103.2,22.37,0,1,2,72,0,0
1973,garbage,MEDIUM,2,52,29.0,0.19,2,1,2,72,0,0
1974,streetlight,LOW,1,24,2.38,1.99,1,1,4,24,0,1
1975,garbage,HIGH,3,94,43.4,42.07,2,0,2,72,1,1
1976,other,LOW,1,38,37.98,23.03,2,1,7,72,0,1
1977,garbage,HIGH,3,69,67.63,58.96,3,1,2,72,0,1
1978,garbage,MEDIUM,2,36,35.01,31.36,0,1,2,72,0,1
1979,other,CRITICAL,4,95,114.75,52.27,1,1,7,72,1,1
1980,water_leakage,HIGH,3,78,32.22,11.81,1,1,5,24,1,0
1981,water_leakage,MEDIUM,2,38,26.0,18.46,0,1,5,24,0,1
1982,drainage,LOW,1,20,16.87,3.42,0,1,3,48,0,0
1983,garbage,LOW,1,22,118.69,28.89,0,1,2,72,0,1
1984,garbage,MEDIUM,2,36,10.19,1.66,0,0,2,72,0,1
1985,water_leakage,CRITICAL,4,88,13.73,6.42,0,1,5,24,1,1
1986,pothole,HIGH,3,79,47.1,14.47,0,1,1,48,1,1
1987,garbage,HIGH,3,86,38.1,1.64,2,1,2,72,1,1
1988,garbage,MEDIUM,2,37,107.83,28.68,0,1,2,72,0,0
1989,streetlight,MEDIUM,2,31,7.36,1.37,0,0,4,24,0,0
1990,water_leakage,MEDIUM,2,36,7.88,4.95,0,1,5,24,0,1
1991,water_leakage,LOW,1,29,35.85,18.83,1,1,5,24,0,0
1992,garbage,HIGH,3,66,69.9,61.28,2,0,2,72,0,1
1993,drainage,LOW,1,24,64.82,46.07,0,1,3,48,0,0
1994,other,MEDIUM,2,36,88.22,71.6,0,1,7,72,0,0
1995,streetlight,LOW,1,20,17.5,13.65,0,1,4,24,0,0
1996,streetlight,MEDIUM,2,35,3.64,3.06,0,1,4,24,0,0
1997,pothole,CRITICAL,4,61,58.64,31.66,0,1,1,48,0,1
1998,streetlight,MEDIUM,2,47,31.64,12.55,1,0,4,24,0,1
1999,water_leakage,MEDIUM,2,40,19.73,11.72,0,1,5,24,0,1
2000,streetlight,MEDIUM,2,48,23.41,18.34,2,1,4,24,0,0
2001,pothole,HIGH,3,59,68.98,45.67,1,0,1,48,0,0
2002,water_leakage,MEDIUM,2,47,10.83,10.5,1,0,5,24,0,1
2003,other,MEDIUM,2,40,71.74,4.74,0,1,7,72,0,1
2004,streetlight,CRITICAL,4,71,32.45,0.86,1,0,4,24,0,1
2005,streetlight,MEDIUM,2,71,20.63,11.13,4,0,4,24,0,1
2006,streetlight,HIGH,3,86,41.62,1.52,1,1,4,24,1,1
2007,water_leakage,LOW,1,17,26.94,21.97,0,1,5,24,0,0
2008,garbage,LOW,1,31,74.75,35.56,1,1,2,72,0,1
2009,water_leakage,LOW,1,27,27.8,16.38,1,1,5,24,0,0
2010,other,HIGH,3,54,46.7,46.44,0,1,7,72,0,1
